"uname","sales_amount"
，？！。，？！,94.7
"001001丽娜",276.2
"007angelapple",204.65
"007czj",79.9
"007无痕",64.8
"0097dds",384.5
"00ll5482",139.2
"00oo00110120",133.8
"00大漠判官00",249.9
"00小鬼妈妈00",69.9
"00漫雪0",144.9
"00香猪宝贝",119.9
"0110011994w",79.8
"0111109myf",199.7
"0113cms",179.79999
"01234501234z",618.92
"015yezi",219.9
"0224zq",50.9
"0236z",6883.998
"031217浅夏",127.4
"0312zhouxx",129.9
"0312感谢相遇",149.9
"0333",233.70001
"039dm",179.9
"0404菜菜",237.4
"0411dongdong168168",19.9
"04200p",437.9
"0427hao",269.43
"05022y",59.7
"050301一尾鱼",479.4
"0504木可",105.4
"051102lj",469.8
"0516wt",469.40002
"0523金汉子",59.9
"0535qiuyuzhong",1988.2002
"0593诱",328.39996
"0660佳御",59.8
"06b003",1018.8001
"06czliulh",89.8
"07070631029zhangqing",949.2001
"0752苏",29.9
"07丫头",74.8
"07江城子",39.9
"07雪飞",149.59999
"08101108xxj",454.4
"0829yanying",104.8
"08善解人衣80",349.59998
"08天使的眼泪",469.59998
"0915hsl",349.4
"099思思",2107.4983
"0nly蓉蓉",299.4
"0osoul晴o0",204.79999
"0o大神",927.88
"0o柒宗罪o0",199.8
"0云水禅心00",29.9
"0圈0圈",229.70001
"0大卷子0",129.8
"0度经线",379.5
"0张社会0",222.9
"0挥剑决浮云0",1137.8002
"0水水若0",156.29999
"0沐木0",39.9
"0漂流瓶0",319.69998
"0烟花般短暂0",60.699997
"0猫咪小眠0",704.8
"0笑魇0",1403.7001
"0等待和希望0",244.9
"0诬毒娃娃0",609.3
"0陪衬0",149.8
"0龙龙529",283.69
"1005707174刘丽",99.9
"1006wangling",586.80005
"100年后",379.4
"10100605a",119.8
"1012jing",39.9
"1014wanghe",579.19995
"1017006116_zsk",1032.3999
"1020ss",1458.5898
"10211116hfm",265.19998
"1024dream",478.8
"102aining",119.6
"1044715933_99",239.79999
"1051213807眠龙",29.9
"10581058gong",100.40001
"1061501165a",19.9
"1061504052l溜溜",263.16
"1063513737倩",59.9
"1073567998zz",359.6
"1076186xycom",159.0
"107918梅",329.39798
"1085232065yxh11",279.8
"109786543210ljl",364.59998
"10xpzhou",144.8
"10小兔子01",569.4
"10虎88",1035.7
"11011011thank",644.30005
"110157623cheng",39.9
"1102009666guofei",389.9
"1109011608jay",39.9
"110职业代购",59.9
"111cn",1193.9698
"111疯狂购购购",99.9
"112233你好5",134.798
"114092563zh",359.59998
"1161147079rui",89.8
"1170887202feng",39.9
"1178hinki",254.70001
"1196118061金秋",89.8
"119tnt",222.7
"11bwzhao",474.9
"11qzh",2378.6968
"11小淘淘",618.9
"11搂着9姑娘",1178.2001
"1205zhao鸣",174.29999
"1208587751萌",39.8
"120gogo",59.7
"1210796516li",229.29999
"1210superman",39.9
"1215171070hh",619.19
"1217康丽莉",1475.1002
"121小小兵",159.5
"1228bonnie",269.8
"12314耿",509.69998
"12315xiaoqi",69.9
"1231o7yuwu",77.5
"1234567910yuan",24.9
"123456jq6",344.3
"123456zhaoa",192.06
"1234浩2",354.8
"12354dsa",199.8
"12355莹",209.79999
"123fish11",261.7
"123jing456li",194.9
"123lotte",1412.9003
"123luocong",129.9
"123去你妹妹的",49.9
"123哈啊哈",59.9
"123开始淘啦",599.8
"123扬帆起航",605.18994
"123春景",159.70001
"123木头娃娃",567.9
"123水中月88",169.7
"123独角戏",24.9
"123绝学无忧",219.7
"123贵子321",154.8
"123陶淘逃",379.40002
"123魏娇",489.8
"1243910185cgp",139.899
"1243936556qaz",49.9
"1245721421meng",19.9
"1247837187小雪",2060.7002
"1259787974n",739.1
"1269841742wzh",79.7
"1299507552y",29.9
"12网络购物",341.3
"1300018807lydia",289.7
"1300628680gzzmy",39.8
"1301chaoer",49.9
"1308淡淡如水",99.9
"1312595736lax",99.8
"13141312abc",89.9
"1314love大牛",619.60004
"1314xx0203",79.0
"1314幸福ing1314",39.9
"1314我的贝",89.9
"13163174412yangyang",158.9
"13168883828t",187.2
"13178677742ken",149.9
"13212795903xsh",84.9
"132336513233dhb",119.8
"13271532495lh",90.7
"1328258418qq",2856.2703
"13305510019st",1046.2001
"13339809399zd",394.9
"133520zss",29.9
"133812215森哥",468.90002
"133pc",1110.4
"134134qp",179.8
"13460000873hbw",1034.0
"13545389721lch",29.9
"1355651087qaz",898.7001
"13562596733xuanxuan",194.8
"13569589017lyla",39.9
"13575331214ab",593.79895
"13585751977bo",168.7
"13601228858zxq",828.377
"13606162088cy",149.9
"13611393183zh",100.9
"13622212294丘超生",85.6
"13622993026海天",159.6
"13631735226t",889.1001
"13640608576凌",249.70001
"13729856501li",149.9
"13751700198zhy",39.9
"13765119392fy",504.28998
"13818318286lu",349.8
"13824595016z",22.9
"13840438089qhy",49.9
"13858140113yu",819.30005
"13871150587qwe",39.9
"138dean138",59.739998
"139_0419",3567.7798
"13941467556zhang",59.9
"1395837tb",798.30005
"13968510916yby",1224.3
"13973322802hjk",94.5
"13981242588tao",69.9
"13992323lbj",1234.8
"13993970463abc",289.5
"139土豆822",79.0
"13yune",49.9
"140686余生",99.9
"1455040456sh",369.9
"1461301159x",628.9
"147zxczaq",139.70001
"14hjl",539.6
"14zx浅蓝天空",29.9
"14幸运年",114.798996
"1500小朱外婆",869.80005
"1505159725lrf",627.0
"15063252217qq",149.9
"15065129068a",429.8
"15194641722xu",52.629997
"15248384858wl",119.8
"15259218069cj",424.49997
"15271917927a",1236.797
"15280361910李",159.70001
"15285395150啦",189.79999
"15288912000bo",668.6
"15289788335好",54.800003
"152xuexue",169.8
"15319989960lsy",294.6
"15361929125hong",199.8
"1537529057qf",194.6
"154288045珊",384.19998
"1547825389张",170.2
"15506508650qian",179.9
"15627202481a",294.4
"15629264915cao",348.69998
"15754307072美丽",49.9
"157呵呵52248415",389.9
"15805798538汪",719.69995
"1580709345北鱼",534.5
"15810887235c",59.9
"15835368989x",2169.9
"15868779691呀",552.8
"15896191265xxs",300.488
"15914119642a",498.29996
"15949962325lf",39.8
"15986845219兰",254.4
"15乌云密布",779.60004
"164648097zhaoxueli",99.9
"16776062jxf",29.9
"168lsh88",189.79999
"168厘米",1633.4669
"1776434122z",1.0
